,ID,AGE,GENDER,RACE,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME,RISK_RATING,NEW_RISK,SUPER_RISK
0,569520,65+,female,majority,0-9y,high school,upper class,0.629027314,1,after 2015,0,1,10238,12000.0,sedan,0,0,0,0,1,0,0
1,750365,16-25,male,majority,0-9y,none,poverty,0.357757117,0,before 2015,0,0,10238,16000.0,sedan,0,0,0,1,1,0,0
2,199901,16-25,female,majority,0-9y,high school,working class,0.493145785,1,before 2015,0,0,10238,11000.0,sedan,0,0,0,0,1,0,0
3,478866,16-25,male,majority,0-9y,university,working class,0.206012851,1,before 2015,0,1,32765,11000.0,sedan,0,0,0,0,1,0,0
4,731664,26-39,male,majority,10-19y,none,working class,0.388365888,1,before 2015,0,0,32765,12000.0,sedan,2,0,1,1,1,4,4
5,877557,40-64,female,majority,20-29y,high school,upper class,0.619127373,1,after 2015,0,1,10238,13000.0,sedan,3,0,3,0,1,6,6
6,930134,65+,male,majority,30y+,high school,upper class,0.49294355,0,after 2015,1,1,10238,13000.0,sedan,7,0,3,0,1,14,14
7,461006,26-39,female,majority,0-9y,university,working class,0.468689297,0,after 2015,0,1,10238,14000.0,sedan,0,0,0,1,1,0,0
8,68366,40-64,female,majority,20-29y,university,working class,0.521814936,0,before 2015,1,0,10238,13000.0,sedan,0,0,0,0,1,0,0
9,445911,40-64,female,majority,0-9y,high school,upper class,0.561531032,1,before 2015,0,1,32765,11000.0,sedan,0,0,0,1,1,0,0
10,275820,65+,male,majority,30y+,high school,upper class,0.620361264,1,after 2015,1,1,10238,10000.0,sedan,6,2,7,0,1,12,12
11,521399,65+,female,majority,30y+,high school,upper class,0.729830882,1,after 2015,1,0,32765,12000.0,sedan,4,0,0,0,1,8,8
12,429728,40-64,male,majority,20-29y,high school,upper class,0.637044744,1,before 2015,1,1,10238,8000.0,sedan,4,1,2,0,1,8,8
13,569640,16-25,female,majority,0-9y,university,upper class,0.591259972,1,before 2015,0,1,10238,,sedan,0,0,0,0,1,0,0
14,980181,26-39,male,majority,10-19y,high school,middle class,0.461567963,1,before 2015,1,1,10238,12000.0,sedan,0,2,1,0,1,0,0
15,906223,26-39,female,majority,0-9y,high school,upper class,0.762797941,0,after 2015,1,0,10238,,sedan,0,0,0,0,1,0,0
16,517747,65+,male,majority,30y+,university,upper class,0.796174846,1,before 2015,1,1,32765,,sedan,10,2,1,0,1,20,20
17,24851,16-25,male,majority,0-9y,none,poverty,,0,before 2015,1,0,32765,12000.0,sedan,0,0,0,1,1,0,0
18,104086,26-39,female,majority,0-9y,university,upper class,0.68059428,1,before 2015,0,1,32765,,sedan,0,0,0,1,1,0,0
19,240658,16-25,female,majority,0-9y,high school,working class,0.417713982,1,before 2015,0,1,10238,18000.0,sedan,0,0,0,1,1,0,0
20,484399,16-25,female,majority,0-9y,high school,working class,0.409513531,0,before 2015,0,0,10238,17000.0,sedan,0,0,0,1,1,0,0
21,912828,16-25,male,majority,0-9y,high school,middle class,0.553260053,1,after 2015,1,1,32765,8000.0,sedan,0,0,0,1,1,0,0
22,892754,40-64,male,majority,20-29y,none,poverty,0.330950262,1,before 2015,1,1,10238,13000.0,sedan,3,1,1,0,1,6,6
